id,y
1,94.455986
2,112.403015
3,95.338806
4,76.8483
5,110.32169
8,90.9196
10,109.8596
11,94.202194
12,116.35822
14,95.05418
15,116.25323
16,105.240974
17,96.69929
19,95.181854
20,107.22312
21,96.69929
22,116.83457
23,96.69929
26,96.54363
28,93.24242
29,96.69929
33,96.69929
35,96.17176
41,96.69929
42,93.34741
43,116.72575
45,105.3074
46,105.189644
51,94.68997
53,82.23246
55,112.576195
56,95.22787
57,106.321846
58,96.96491
59,105.822296
63,111.28113
64,95.49474
65,107.22312
69,96.926414
71,97.22369
72,105.454765
73,95.59974
76,105.83755
77,108.79862
78,115.977066
82,95.59974
83,107.22312
84,94.78354
85,104.79161
87,109.900856
88,96.69929
89,111.653
91,94.845085
93,96.44955
94,109.241
95,94.14892
96,110.26839
97,92.97554
98,112.27264
99,94.74009
101,105.679276
103,111.653
104,92.39155
105,109.95445
110,97.297226
111,111.99485
113,111.99485
114,92.02074
115,111.83605
117,111.653
120,92.870544
121,110.28364
122,92.97554
123,112.576195
126,109.258286
132,111.00529
135,106.64232
137,106.11021
138,95.59974
140,95.12287
142,111.81733
144,110.28364
148,92.96463
149,110.28364
155,92.949295
156,109.900856
157,92.97554
162,110.28364
163,96.64856
167,91.91574
172,116.72575
179,112.576195
180,92.97554
181,111.28113
182,96.07555
183,111.653
185,111.653
187,111.653
188,95.59974
189,94.68997
191,92.02074
192,112.71374
193,94.68997
194,111.653
195,92.02074
196,111.653
198,96.926414
199,110.28364
201,106.747314
204,95.49474
205,105.240974
206,96.42332
210,94.30719
211,105.679276
216,110.28364
219,116.35822
220,92.80723
221,109.84946
226,111.28113
227,91.637955
228,110.28364
230,110.28364
231,92.97554
235,116.83457
236,94.789566
238,110.28364
242,108.310844
243,94.845085
244,78.9986
245,110.709435
247,111.99485
248,92.59276
249,92.96463
250,109.900856
251,94.789566
253,116.83457
254,93.34741
256,95.59974
257,92.94938
258,110.84961
259,94.845085
262,79.5794
266,93.35156
267,111.99485
272,105.189644
273,111.653
275,93.34741
276,111.20182
279,95.21696
280,107.22312
283,92.97554
285,110.28364
288,111.653
289,94.67474
290,106.747314
291,95.21696
292,110.79335
293,109.94354
296,93.33216
297,112.37763
298,115.977066
299,95.59974
304,91.91574
305,91.61281
306,94.58498
307,111.28113
311,111.78258
313,111.28113
314,92.02074
316,96.10506
324,95.898674
327,95.16144
329,92.005486
330,111.653
337,107.14958
338,95.82869
339,106.64232
340,95.49474
343,92.59276
345,116.25323
346,92.02074
347,111.99485
349,111.75774
350,91.058235
352,112.37763
353,91.63361
354,79.10359
357,95.59974
358,111.99485
362,111.47969
364,116.87556
365,105.679276
366,95.54422
367,111.653
368,95.59974
370,79.68494
373,96.94966
377,92.02074
378,110.326324
382,105.83755
384,110.28364
390,94.14892
392,112.37763
393,111.1042
395,95.97055
396,107.118126
399,79.10359
406,111.28113
408,111.28113
409,92.496544
410,78.94308
412,112.56082
413,92.57751
419,94.14892
420,111.8746
421,92.59276
430,101.41662
434,94.68997
436,95.21696
437,95.22787
438,92.57751
439,110.28364
440,94.845085
443,110.326324
446,95.49474
448,95.21696
452,95.49474
453,106.321846
457,106.73206
458,94.68997
459,114.1162
460,106.11
462,108.310844
464,106.215
465,116.35822
467,118.66412
471,111.548004
472,79.10359
473,94.50867
475,95.49474
480,96.44955
488,110.2522
490,111.28113
491,105.679276
492,79.10359
493,95.59974
497,91.637955
498,112.36238
499,96.17176
500,105.189644
501,94.68997
502,111.99485
506,81.103745
510,109.94354
511,91.11097
512,92.005486
516,92.96463
518,92.02074
519,111.99485
521,91.637955
522,109.900856
526,109.900856
529,95.68473
532,109.900856
533,95.59974
536,110.759445
537,97.21427
539,95.59974
540,105.679276
541,95.58449
543,94.68997
546,111.99485
547,94.789566
548,79.68494
551,94.63724
552,106.215
556,108.78337
557,96.926414
558,111.653
559,95.59974
560,105.240974
562,105.240974
566,96.68221
570,112.36238
571,95.22787
572,107.22312
573,95.59974
575,116.35822
576,112.27264
577,91.058235
579,92.97554
580,111.99485
581,111.00529
589,111.28113
591,105.20241
593,95.21696
594,105.465675
595,94.68997
598,94.63724
602,111.47197
604,110.28364
606,111.65274
608,95.54422
609,105.679276
610,94.58498
616,111.46823
617,96.54363
618,105.465675
620,105.29649
622,110.80213
623,92.17487
624,154.85631
